customer_id,current_mrr,trailing_3m_usage_avg,trailing_3m_usage_trend,trailing_3m_support_ticket_avg,trailing_3m_nps_avg,trailing_3m_payment_delay_avg,trailing_3m_discount_avg,seat_growth_rate,expansion_frequency,contraction_frequency,churn_history_flag,renewal_due_flag,concentration_weight,tenure_months
CUST000047,0.0,80.02,5.725,2.0,49.177,16.0,0.2106,0.0,0.0,0.0,1,0,0.0,49
CUST000048,613.2,74.57,-2.865,1.333,39.52,7.667,0.0,0.0,0.0,0.0,0,1,6.4e-05,39
CUST000049,402.08,76.25,8.26,0.667,49.427,13.333,0.0826,-0.1111,0.0833,0.0833,0,0,4.2e-05,20
CUST000050,1151.88,75.743,5.755,0.667,38.577,9.333,0.1915,0.0,0.0,0.0,0,1,0.000121,3
CUST000051,0.0,59.083,0.705,2.667,1.767,18.333,0.2551,0.2143,0.0,0.0,1,0,0.0,53
CUST000052,2409.38,57.1,0.55,3.0,1.42,12.333,0.1479,0.0656,0.0,0.0,0,1,0.000253,56
CUST000053,3820.68,90.223,8.125,1.333,68.047,7.667,0.0849,0.0,0.0,0.0,0,1,0.000401,42
CUST000054,0.0,53.487,3.985,3.0,1.213,17.333,0.3521,0.1667,0.0,0.0,1,0,0.0,18
CUST000055,1317.25,77.363,1.87,1.0,51.4,13.0,0.2247,0.0,0.0833,0.0,0,0,0.000138,26
CUST000056,990.38,78.227,-4.13,1.667,46.183,15.333,0.0982,0.0,0.0,0.0,0,0,0.000104,10
CUST000057,3826.47,54.943,-4.795,3.333,6.053,9.333,0.3947,0.0,0.0833,0.0,0,0,0.000402,23
CUST000058,938.12,69.703,5.88,1.667,31.13,17.667,0.1884,0.0,0.0,0.0,0,1,9.9e-05,21
CUST000059,422.8,72.547,3.9,1.333,47.317,12.0,0.0969,0.0,0.0,0.0,0,0,4.4e-05,4
CUST000060,595.29,77.35,0.425,2.0,36.157,21.667,0.0447,0.0,0.0,0.0,0,0,6.3e-05,29
CUST000061,420.0,71.507,0.675,2.667,33.653,14.667,0.2473,0.0,0.0,0.0,0,0,4.4e-05,9
CUST000062,918.47,78.697,2.185,0.667,52.71,9.0,0.0777,0.0,0.0833,0.0,0,0,9.6e-05,25
CUST000063,1242.86,12.963,-0.405,4.667,-80.827,19.0,0.4233,-0.1176,0.0833,0.0833,0,1,0.000131,51
CUST000064,496.98,68.763,8.27,0.667,21.237,18.667,0.2215,0.0,0.0833,0.0,0,0,5.2e-05,17
CUST000065,407.81,88.53,4.12,0.667,73.03,3.0,0.2202,0.0,0.0,0.0833,0,0,4.3e-05,13
CUST000066,4716.15,92.71,-6.32,2.0,79.44,9.0,0.165,0.1687,0.0833,0.0,0,1,0.000495,18
CUST000067,549.31,90.827,3.215,0.667,81.567,18.667,0.3016,0.0,0.0,0.0,0,0,5.8e-05,32
CUST000068,973.2,67.14,5.44,1.333,31.103,5.667,0.1633,0.0556,0.2,0.0,0,0,0.000102,5
CUST000069,422.8,67.713,-0.29,1.0,29.853,14.667,0.0666,0.0,0.0,0.0,0,0,4.4e-05,22
CUST000070,335.0,52.827,14.76,2.667,-4.227,21.0,0.1229,0.1667,0.0,0.0,0,1,3.5e-05,24
CUST000071,5064.99,93.5,9.75,2.667,83.6,7.333,0.1051,0.0,0.0833,0.1667,0,0,0.000532,28
CUST000072,660.8,67.825,-8.47,2.0,26.01,8.5,0.2137,0.0,0.0,0.0,0,0,6.9e-05,2
CUST000073,250.0,69.87,15.27,1.333,34.08,19.667,0.1962,0.0,0.0,0.0,0,0,2.6e-05,5
CUST000074,12745.36,91.943,-0.165,4.333,69.767,4.667,0.1184,0.0,0.0833,0.0,0,1,0.001338,51
CUST000075,0.0,76.357,1.905,3.0,56.333,11.0,0.0865,0.0,0.0,0.0,1,0,0.0,47
CUST000076,2228.97,71.05,11.91,0.333,35.097,17.333,0.1109,0.0,0.0833,0.0,0,1,0.000234,36
CUST000077,317.98,38.557,4.94,3.0,-33.41,27.0,0.1728,0.0,0.0833,0.0,0,0,3.3e-05,34
CUST000078,967.06,66.25,2.04,1.333,15.147,15.333,0.1317,0.0455,0.0833,0.0,0,0,0.000102,13
CUST000079,2089.79,93.677,5.505,1.0,86.273,6.667,0.0606,0.0,0.0833,0.0833,0,1,0.000219,44
CUST000080,0.0,78.17,1.235,1.333,46.52,14.333,0.2356,0.25,0.0,0.0,1,0,0.0,43
CUST000081,517.83,67.787,4.865,2.333,15.69,26.667,0.1678,0.0,0.0,0.0,0,1,5.4e-05,52
CUST000082,3005.74,96.757,4.865,0.0,77.4,6.667,0.0763,0.0,0.0,0.0,0,1,0.000316,37
CUST000083,432.19,57.907,0.8,3.0,1.223,22.333,0.2813,0.0,0.0909,0.0909,0,0,4.5e-05,11
CUST000084,900.55,84.283,4.79,2.0,61.493,13.667,0.0894,0.0,0.0,0.0,0,0,9.5e-05,14
CUST000085,842.08,73.293,10.035,3.0,39.257,10.667,0.193,0.0,0.0833,0.0833,0,1,8.8e-05,30
CUST000086,830.0,76.567,4.025,2.333,48.403,18.333,0.1345,0.0,0.0,0.0,0,0,8.7e-05,11
CUST000087,0.0,73.8,-1.86,4.0,29.935,8.5,0.139,0.0,0.0,0.0,1,0,0.0,4
CUST000088,0.0,86.18,-7.09,18.0,29.887,16.333,0.1563,0.0,0.0,0.0,1,0,0.0,39
CUST000089,1151.88,81.893,-7.745,2.0,57.857,16.333,0.0922,0.0,0.0,0.0,0,1,0.000121,12
CUST000090,1452.72,73.05,8.7,2.0,29.443,17.0,0.0011,0.0,0.1667,0.0,0,1,0.000153,52
CUST000091,995.66,73.043,-3.74,2.333,33.407,16.333,0.0743,0.0,0.0,0.0,0,0,0.000105,20
CUST000092,333.6,80.427,7.105,2.333,49.857,4.667,0.3392,0.0,0.0833,0.0,0,1,3.5e-05,42
CUST000093,0.0,58.667,-4.095,3.333,3.56,19.333,0.0983,-0.0476,0.0,0.0,1,0,0.0,36
CUST000094,12013.68,93.95,1.235,3.0,87.53,4.333,0.1133,0.0,0.0833,0.0,0,0,0.001261,29
CUST000095,327.6,77.967,-8.335,0.667,53.78,10.333,0.1305,0.0,0.0,0.0,0,0,3.4e-05,4
CUST000096,525.03,97.873,-3.19,0.667,88.577,6.667,0.2568,0.0,0.0833,0.0,0,1,5.5e-05,38
CUST000097,7911.11,88.07,3.45,3.667,76.907,11.0,0.212,0.0,0.0,0.0,0,0,0.000831,19
CUST000098,910.9,71.873,-1.8,2.0,36.587,5.333,0.0657,0.0556,0.25,0.0,0,0,9.6e-05,4
CUST000099,0.0,74.817,2.495,5.0,39.897,15.0,0.1733,0.0,0.0,0.0,1,0,0.0,49
CUST000100,613.2,68.757,5.52,1.0,27.397,13.667,0.1411,0.0,0.0,0.0,0,0,6.4e-05,20
CUST000101,1192.25,66.997,2.89,0.333,23.607,14.333,0.0772,0.0,0.0,0.0,0,0,0.000125,11
CUST000102,12414.22,88.233,10.36,9.0,62.813,10.0,0.2124,0.0,0.0,0.0,0,0,0.001304,14
CUST000103,1223.26,77.04,-4.05,0.333,34.567,7.0,0.2228,0.0,0.1667,0.0,0,0,0.000128,30
CUST000104,938.1,78.247,1.315,1.333,39.97,13.0,0.1469,0.0,0.0,0.0,0,1,9.9e-05,46
CUST000105,280.0,60.107,1.7,3.333,16.433,16.333,0.1307,0.0,0.0,0.0,0,1,2.9e-05,12
CUST000106,2931.5,69.807,4.12,3.333,26.467,8.0,0.156,0.0,0.0,0.0,0,0,0.000308,11
CUST000107,611.15,51.327,0.02,2.667,-3.423,26.0,0.3839,0.0,0.0,0.0833,0,1,6.4e-05,53
CUST000108,0.0,65.463,-0.04,1.333,23.747,12.0,0.1004,0.0,0.0,0.0,1,0,0.0,13
CUST000109,924.37,85.19,7.68,0.667,69.753,10.0,0.0811,0.0,0.0,0.1111,0,1,9.7e-05,9
CUST000110,2939.5,94.533,-0.015,1.0,88.73,7.333,0.2077,0.0,0.0,0.0,0,1,0.000309,24
CUST000111,359.11,97.14,0.71,0.333,83.987,11.667,0.2056,0.0,0.0,0.0,0,0,3.8e-05,34
CUST000112,435.18,75.337,11.38,1.333,45.06,14.333,0.0,0.1429,0.0833,0.0,0,0,4.6e-05,34
CUST000113,0.0,66.32,-2.36,2.333,27.127,18.667,0.2593,0.0,0.0,0.0,1,0,0.0,53
CUST000114,0.0,62.223,-12.6,0.333,4.053,19.333,0.0811,-0.0476,0.125,0.0,1,0,0.0,9
CUST000115,457.1,71.007,-0.85,3.333,47.347,23.0,0.141,0.0,0.0,0.0,0,1,4.8e-05,39
CUST000116,292.5,75.427,3.845,1.333,42.213,23.0,0.1416,0.0,0.0,0.0,0,0,3.1e-05,19
CUST000117,0.0,59.29,1.935,3.333,1.183,17.667,0.119,0.0,0.0,0.1667,1,0,0.0,43
CUST000118,545.22,72.08,1.095,3.0,46.413,17.667,0.0952,0.0,0.0,0.0,0,1,5.7e-05,38
CUST000119,2854.9,20.557,-4.105,2.667,-58.957,8.667,0.2991,-0.125,0.0,0.0,0,1,0.0003,49
CUST000120,0.0,56.97,5.57,3.0,-8.427,17.667,0.1351,0.0,0.0,0.0,1,0,0.0,46
CUST000121,8389.54,85.433,-0.865,5.333,51.437,7.0,0.2983,0.0,0.0,0.0,0,0,0.000881,28
CUST000122,6644.05,92.977,1.605,1.667,72.91,7.667,0.1567,0.0,0.0833,0.0,0,0,0.000698,13
CUST000123,6279.5,87.607,6.835,2.0,67.49,1.0,0.1942,0.0,0.0,0.0,0,0,0.000659,10
CUST000124,6732.44,82.513,-0.235,4.333,53.11,2.667,0.1985,0.0,0.0,0.0,0,0,0.000707,13
CUST000125,0.0,83.94,3.775,3.0,57.193,7.667,0.1482,0.0,0.0,0.0,1,0,0.0,21
CUST000126,762.58,72.563,1.085,2.0,29.287,19.667,0.341,0.0,0.0,0.1429,0,0,8e-05,7
CUST000127,914.38,78.73,10.51,1.333,55.9,5.667,0.1652,0.0,0.0,0.0,0,1,9.6e-05,15
CUST000128,518.0,81.453,10.15,1.667,61.233,15.333,0.0859,0.0,0.0,0.0,0,0,5.4e-05,20
CUST000129,1280.69,85.737,-1.85,1.0,64.253,6.333,0.228,0.0,0.0833,0.0,0,1,0.000134,43
CUST000130,248.87,79.027,6.56,0.333,52.7,11.333,0.1896,0.0,0.0,0.0,0,0,2.6e-05,22
CUST000131,521.41,85.77,3.525,1.0,65.637,10.667,0.076,0.0,0.0833,0.0,0,1,5.5e-05,43
CUST000132,470.4,61.05,6.415,1.667,18.847,18.0,0.231,0.0,0.0,0.0,0,0,4.9e-05,7
CUST000133,10146.45,83.953,2.405,5.333,57.22,4.0,0.1861,0.0,0.0833,0.0,0,1,0.001065,53
CUST000134,1111.5,73.223,-2.325,1.333,31.303,10.333,0.1626,0.0,0.0,0.0,0,1,0.000117,3
CUST000135,288.76,87.883,3.225,0.333,60.763,17.0,0.1442,0.0,0.0833,0.0,0,0,3e-05,26
CUST000136,566.69,92.123,-1.83,0.0,75.68,14.0,0.0,0.0,0.0,0.0,0,0,6e-05,35
CUST000137,410.67,86.607,11.305,0.333,60.253,13.333,0.0671,0.0,0.0833,0.0,0,0,4.3e-05,25
CUST000138,830.0,77.077,4.755,1.0,45.72,15.667,0.2834,0.0,0.0,0.0,0,0,8.7e-05,11
CUST000139,3350.56,72.843,1.77,4.333,42.967,14.0,0.2448,0.0,0.0833,0.0,0,0,0.000352,25
CUST000140,0.0,51.133,-12.67,3.333,-5.887,19.0,0.1461,-0.1667,0.0,0.0,1,0,0.0,10
CUST000141,493.34,62.307,3.485,1.0,15.47,17.0,0.1701,0.0,0.0,0.1667,0,0,5.2e-05,30
CUST000142,1030.75,84.143,-5.395,0.333,63.347,13.333,0.0877,0.0,0.0,0.0,0,0,0.000108,5
CUST000143,772.62,60.577,3.185,1.667,27.197,19.667,0.23,0.0588,0.0,0.0,0,1,8.1e-05,51
CUST000144,1086.84,85.913,5.49,2.0,58.45,5.0,0.1485,0.0,0.0,0.0,0,1,0.000114,40
CUST000145,1829.5,86.48,-2.725,1.0,61.827,12.333,0.1936,0.0,0.0,0.0,0,1,0.000192,48
CUST000146,830.0,69.44,10.44,0.5,28.765,17.5,0.1437,0.0,0.0,0.0,0,0,8.7e-05,2
CUST000147,1515.25,73.447,4.275,2.333,36.293,5.667,0.1439,0.0625,0.0,0.0,0,1,0.000159,3
CUST000148,1111.5,72.81,6.97,1.0,35.12,10.0,0.2536,0.0,0.0,0.0,0,1,0.000117,3
CUST000149,429.68,84.56,-4.665,0.667,71.11,9.0,0.0,0.0,0.0833,0.0,0,1,4.5e-05,52
CUST000150,0.0,66.463,-3.57,1.0,35.637,10.333,0.442,0.0,0.0,0.0,1,0,0.0,34
CUST000151,800.45,55.883,8.895,2.333,3.343,18.0,0.2565,0.1053,0.0833,0.0833,0,1,8.4e-05,43
CUST000152,534.44,90.677,5.835,0.667,69.337,12.0,0.1876,0.0,0.1667,0.0,0,0,5.6e-05,34
CUST000153,8411.54,79.24,-1.245,3.0,59.41,17.333,0.1862,0.0,0.0833,0.0833,0,1,0.000883,48
CUST000154,327.6,89.097,-9.355,0.333,70.147,19.0,0.0,0.0,0.0,0.0,0,1,3.4e-05,45
CUST000155,422.8,66.837,-3.755,1.333,11.573,17.333,0.0774,0.0,0.0,0.0,0,1,4.4e-05,15
CUST000156,1305.11,73.643,-0.025,1.667,48.633,18.333,0.056,0.0,0.0833,0.0,0,0,0.000137,14
CUST000157,0.0,76.927,-14.875,0.667,46.177,7.667,0.1504,0.0,0.0,0.0,1,0,0.0,51
CUST000158,0.0,72.92,-2.575,1.0,36.277,10.667,0.0952,0.0,0.0,0.0,1,0,0.0,50
CUST000159,950.0,82.967,-0.085,0.667,55.587,20.0,0.0375,0.0,0.0,0.0,1,1,0.0001,48
CUST000160,3263.0,87.77,7.425,1.667,73.03,9.0,0.0944,0.0,0.0,0.0,0,1,0.000343,47
CUST000161,0.0,69.81,8.03,1.0,28.457,18.667,0.2341,0.0,0.0,0.0,1,0,0.0,39
CUST000162,602.29,93.443,-0.77,1.0,88.43,5.333,0.2114,0.0,0.0,0.0,0,0,6.3e-05,31
CUST000163,1192.25,69.877,-5.045,2.0,37.36,17.667,0.1517,0.0,0.0,0.0,0,0,0.000125,20
CUST000164,620.08,88.99,8.79,0.333,61.42,9.667,0.0901,0.0,0.0,0.0,0,0,6.5e-05,17
CUST000165,938.12,85.757,-2.995,1.333,66.833,15.0,0.0628,0.0,0.0,0.0,0,1,9.9e-05,15
CUST000166,363.78,90.35,5.555,1.0,73.883,15.333,0.1989,0.0,0.0833,0.0,0,0,3.8e-05,26
CUST000167,376.58,79.763,-1.45,1.0,59.403,16.667,0.2934,0.0,0.1667,0.0,0,0,4e-05,28
CUST000168,2724.76,86.86,-4.74,0.333,65.983,11.0,0.1594,0.0345,0.0833,0.0,0,1,0.000286,49
CUST000169,19939.56,89.65,2.17,12.0,58.717,14.667,0.202,0.0,0.0,0.0,0,0,0.002094,25
CUST000170,1983.5,98.96,-1.21,0.667,79.16,13.333,0.2468,0.0,0.0833,0.0,0,1,0.000208,42
CUST000171,1041.65,67.823,2.32,3.0,32.2,22.0,0.3069,0.0,0.0,0.0,0,0,0.000109,28
CUST000172,2265.79,88.15,0.01,1.667,63.267,11.667,0.1583,0.0,0.0,0.0,0,1,0.000238,53
CUST000173,2283.46,64.24,14.36,2.0,22.597,13.333,0.2474,0.098,0.0833,0.0,0,1,0.00024,39
CUST000174,1236.6,83.057,0.415,0.333,66.633,11.0,0.0,0.0,0.0833,0.0,0,1,0.00013,38
CUST000175,3067.52,41.65,0.935,5.0,-22.36,16.333,0.3174,0.0526,0.0,0.0,0,1,0.000322,24
CUST000176,377.5,66.76,3.44,2.333,29.323,14.0,0.157,0.0,0.0,0.0,0,0,4e-05,14
CUST000177,1215.97,89.583,2.11,0.667,68.807,18.0,0.0727,0.0,0.0,0.0,0,0,0.000128,19
CUST000178,1151.88,77.343,6.07,1.0,49.95,15.0,0.1271,0.0,0.0,0.0,0,1,0.000121,33
CUST000179,902.5,60.64,3.14,3.333,9.737,22.333,0.3091,0.0,0.0,0.0,0,0,9.5e-05,7
CUST000180,12774.85,96.42,5.37,3.333,88.163,3.667,0.0637,0.0576,0.0833,0.0,0,1,0.001341,46
CUST000181,1072.45,66.447,3.38,2.333,10.853,20.333,0.1964,0.0,0.125,0.0,0,0,0.000113,8
CUST000182,664.22,87.79,10.675,0.333,61.97,8.667,0.0836,0.0,0.0,0.0833,0,1,7e-05,12
CUST000183,589.1,71.03,-1.215,1.667,30.843,15.667,0.3608,0.0,0.0,0.0909,0,0,6.2e-05,11
CUST000184,685.97,89.14,-2.375,0.667,78.683,5.333,0.0676,0.0,0.0,0.0,0,0,7.2e-05,25
CUST000185,1066.57,78.663,-4.01,0.333,59.697,9.333,0.0,0.0,0.0,0.0,0,1,0.000112,39
CUST000186,1298.66,84.18,6.905,0.667,65.307,13.667,0.0,0.0,0.0833,0.0833,0,1,0.000136,43
CUST000187,1475.44,94.43,4.665,0.667,69.327,5.333,0.143,0.0,0.0833,0.0,0,1,0.000155,47
CUST000188,1015.01,89.797,2.64,0.667,72.003,6.333,0.0189,0.0,0.0833,0.0,0,1,0.000107,56
CUST000189,0.0,74.043,1.63,1.667,50.64,10.667,0.2229,0.0,0.0,0.0,1,0,0.0,24
CUST000190,0.0,67.65,9.625,1.0,14.787,15.667,0.2313,0.0,0.0,0.0,1,0,0.0,13
CUST000191,2193.75,88.28,13.06,0.667,68.893,5.0,0.2077,0.0,0.0,0.0,0,0,0.00023,25
CUST000192,1220.92,78.483,-7.27,1.0,41.25,12.0,0.1136,0.0,0.0833,0.0,0,0,0.000128,16
CUST000193,1111.5,70.14,1.4,1.333,29.377,15.667,0.2809,0.0,0.0,0.0,0,1,0.000117,9
CUST000194,1071.12,63.72,-3.345,3.0,27.183,15.0,0.1311,0.0,0.0,0.0,0,0,0.000112,8
CUST000195,12155.57,82.407,7.375,7.0,60.733,10.667,0.3175,0.0,0.1111,0.0,0,0,0.001276,9
CUST000196,684.47,89.997,2.66,0.0,66.483,15.0,0.0282,0.2,0.3333,0.0,0,1,7.2e-05,6
CUST000197,1394.12,62.913,4.215,2.333,-0.273,19.333,0.2504,0.0333,0.0,0.0,0,0,0.000146,8
CUST000198,459.16,85.51,-4.495,1.0,69.857,11.667,0.0,0.0,0.0833,0.0,0,1,4.8e-05,42
CUST000199,767.18,44.26,1.63,3.333,-20.2,8.667,0.3304,0.0625,0.0,0.0833,0,1,8.1e-05,24
CUST000200,711.07,68.287,7.34,1.667,26.45,16.0,0.1772,0.0,0.2,0.0,0,0,7.5e-05,5
CUST000201,7572.95,73.137,5.71,4.0,30.39,12.333,0.2421,0.0,0.0833,0.0,0,1,0.000795,49
CUST000202,898.42,61.487,8.87,2.333,9.307,27.0,0.0649,0.0,0.0,0.0,0,1,9.4e-05,48
CUST000203,1323.85,82.177,0.51,1.667,50.57,7.667,0.1863,0.0,0.0,0.0,0,0,0.000139,16
CUST000204,1323.85,80.5,-1.86,2.0,54.11,10.0,0.2408,0.0,0.0,0.0,0,0,0.000139,17
CUST000205,0.0,52.915,-3.93,2.0,-1.98,19.5,0.2379,-0.1579,0.0,0.0,1,0,0.0,18
CUST000206,277.81,26.507,-3.21,4.0,-65.153,22.0,0.45,-0.2,0.0,0.1667,0,1,2.9e-05,36
CUST000207,0.0,93.863,0.19,0.667,78.913,11.333,0.1915,0.0,0.0,0.0,1,0,0.0,50
CUST000208,1172.25,81.873,8.3,2.333,62.64,17.0,0.0377,0.0,0.1667,0.0,1,0,0.000123,22
CUST000209,0.0,63.877,6.635,1.667,16.097,19.333,0.3156,0.0,0.0,0.0,1,0,0.0,51
CUST000210,971.1,62.377,9.265,3.0,15.443,11.0,0.1301,0.0909,0.0,0.0,0,0,0.000102,4
CUST000211,0.0,58.733,-0.08,2.333,14.87,18.333,0.0463,0.0625,0.0,0.0,1,0,0.0,39
CUST000212,0.0,27.09,-16.675,6.667,-50.42,13.333,0.3435,-0.2597,0.3333,0.0,1,0,0.0,49
CUST000213,1963.26,86.377,-0.095,1.333,61.137,15.333,0.2732,0.0,0.0,0.0833,0,1,0.000206,50
CUST000214,902.5,69.107,0.425,1.0,28.433,10.667,0.0877,0.0,0.0,0.0,0,0,9.5e-05,4
CUST000215,422.8,83.003,-0.92,0.667,62.087,7.0,0.248,0.0,0.0,0.0,0,0,4.4e-05,4
CUST000216,1024.15,81.383,1.705,1.0,59.323,10.0,0.0986,0.0,0.0833,0.0,0,1,0.000108,15
CUST000217,2785.1,84.13,0.32,2.0,59.343,13.0,0.0975,0.0,0.0833,0.0,0,1,0.000292,36
CUST000218,1145.77,82.707,4.595,1.0,62.233,10.667,0.1642,0.0,0.0833,0.0,0,1,0.00012,55
CUST000219,811.53,63.683,-3.1,2.0,8.37,16.0,0.234,0.0,0.0,0.0,0,0,8.5e-05,34
CUST000220,981.68,77.217,11.78,2.333,38.08,15.0,0.0,0.0,0.0833,0.0,0,0,0.000103,25
CUST000221,3441.37,91.85,6.47,0.667,90.237,2.667,0.0953,-0.0649,0.0833,0.0833,0,1,0.000361,46
CUST000222,1721.36,69.047,-0.48,1.667,33.037,18.667,0.2543,0.0,0.0,0.0,0,1,0.000181,41
CUST000223,0.0,59.917,8.57,4.0,16.427,15.667,0.0986,0.0,0.0,0.0,1,0,0.0,32
CUST000224,1066.76,80.267,0.605,1.0,54.45,14.333,0.1264,0.0,0.0833,0.0,0,1,0.000112,49
CUST000225,2078.97,81.52,-0.02,0.333,61.217,7.0,0.1282,0.0,0.0833,0.0,0,1,0.000218,18
CUST000226,924.23,71.733,2.545,1.0,36.53,15.0,0.2611,0.0,0.0833,0.0,0,1,9.7e-05,21
CUST000227,3336.67,84.417,-2.225,3.333,61.023,11.333,0.1429,0.0,0.0,0.0,0,0,0.00035,17
CUST000228,1357.1,85.093,-0.79,1.0,63.093,13.667,0.1348,0.0,0.0833,0.0,0,1,0.000142,56
