customer_id,segment,region,industry,acquisition_channel,account_manager_id,current_mrr,concentration_weight,renewal_due_flag,churn_risk_score,churn_risk_tier,churn_risk_main_driver,revenue_quality_score,revenue_quality_risk_tier,revenue_quality_main_driver,discount_dependency_score,discount_dependency_tier,discount_dependency_main_driver,expansion_quality_score,expansion_quality_risk_tier,expansion_quality_main_driver,governance_priority_score,governance_priority_tier,governance_main_driver,recommended_action,recommended_action_reason
CUST003437,SMB,APAC,Manufacturing,paid_media,AM0024,556.86,5.8e-05,1,67.065,High,Usage deterioration,15.649,Critical,Weak realized pricing,75.643,Critical,High discount level,40.23714285714286,High,No recent expansion signal,67.259,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=67.1, quality=15.6, discount=75.6"
CUST002629,SMB,North America,Manufacturing,paid_media,AM0019,776.65,8.2e-05,1,60.458,High,Usage deterioration,15.166,Critical,Weak realized pricing,81.996,Critical,High discount level,42.62,High,No recent expansion signal,66.541,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=60.5, quality=15.2, discount=82.0"
CUST004307,SMB,EMEA,Manufacturing,self_serve,AM0027,1238.44,0.00013,1,57.584,High,Usage deterioration,16.007,Critical,Weak realized pricing,85.0,Critical,High discount level,42.62,High,No recent expansion signal,66.381,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=57.6, quality=16.0, discount=85.0"
CUST003462,Mid-Market,EMEA,Retail,outbound_sdr,AM0003,2928.79,0.000308,1,57.667,High,Usage deterioration,16.677,Critical,Weak realized pricing,73.572,High,High discount level,40.23714285714286,High,No recent expansion signal,66.35,High,Churn risk pressure,prepare renewal intervention,"High priority driven by Churn risk pressure; churn=57.7, quality=16.7, discount=73.6"
CUST004249,SMB,North America,Media,paid_media,AM0012,1202.73,0.000126,1,56.623,High,Usage deterioration,16.519,Critical,Weak realized pricing,85.0,Critical,High discount level,42.62,High,No recent expansion signal,66.036,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=56.6, quality=16.5, discount=85.0"
CUST002101,Mid-Market,LATAM,Media,outbound_sdr,AM0029,991.41,0.000104,1,58.842,High,Usage deterioration,15.854,Critical,Weak realized pricing,82.329,Critical,High discount level,42.62,High,No recent expansion signal,65.621,High,Churn risk pressure,review account manager behavior,"High priority driven by Churn risk pressure; churn=58.8, quality=15.9, discount=82.3"
CUST004190,SMB,North America,Manufacturing,self_serve,AM0034,414.91,4.4e-05,1,66.256,High,Usage deterioration,18.674,Critical,Weak realized pricing,76.396,Critical,High discount level,42.62,High,No recent expansion signal,65.422,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=66.3, quality=18.7, discount=76.4"
CUST000488,Enterprise,EMEA,Retail,enterprise_sales,AM0038,36215.57,0.003803,0,49.546,Moderate,Sentiment/support deterioration,18.517,Critical,Weak realized pricing,85.0,Critical,High discount level,45.0,High,No recent expansion signal,65.053,High,Exposure concentration,review discount policy,"High priority driven by Exposure concentration; churn=49.5, quality=18.5, discount=85.0"
CUST001956,SMB,North America,Media,paid_media,AM0020,1271.88,0.000134,1,56.084,High,Usage deterioration,18.605,Critical,Weak realized pricing,85.0,Critical,High discount level,45.0,High,No recent expansion signal,64.978,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=56.1, quality=18.6, discount=85.0"
CUST001640,SMB,EMEA,SaaS,paid_media,AM0038,1217.56,0.000128,1,55.384,High,Usage deterioration,18.486,Critical,Weak realized pricing,85.0,Critical,High discount level,45.0,High,No recent expansion signal,64.828,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=55.4, quality=18.5, discount=85.0"
CUST002060,SMB,North America,Logistics,self_serve,AM0029,375.2,3.9e-05,1,63.278,High,Usage deterioration,18.505,Critical,Weak realized pricing,76.165,Critical,High discount level,42.62,High,No recent expansion signal,64.509,High,Churn risk pressure,review account manager behavior,"High priority driven by Churn risk pressure; churn=63.3, quality=18.5, discount=76.2"
CUST003575,SMB,LATAM,SaaS,content_marketing,AM0035,261.03,2.7e-05,1,64.844,High,Usage deterioration,18.978,Critical,Weak realized pricing,73.599,High,High discount level,42.62,High,No recent expansion signal,64.342,High,Churn risk pressure,prepare renewal intervention,"High priority driven by Churn risk pressure; churn=64.8, quality=19.0, discount=73.6"
CUST003743,Mid-Market,EMEA,FinTech,enterprise_sales,AM0014,1772.46,0.000186,0,58.808,High,Usage deterioration,12.197,Critical,Weak realized pricing,85.0,Critical,High discount level,37.857142857142854,High,No recent expansion signal,64.319,High,Churn risk pressure,review account manager behavior,"High priority driven by Churn risk pressure; churn=58.8, quality=12.2, discount=85.0"
CUST002413,SMB,APAC,Healthcare,partner_referral,AM0002,995.25,0.000105,1,58.277,High,Usage deterioration,18.645,Critical,Weak realized pricing,73.748,High,High discount level,42.62,High,No recent expansion signal,64.263,High,Churn risk pressure,prepare renewal intervention,"High priority driven by Churn risk pressure; churn=58.3, quality=18.6, discount=73.7"
CUST003727,Mid-Market,APAC,Retail,content_marketing,AM0005,1192.91,0.000125,1,55.715,High,Usage deterioration,19.63,Critical,Weak realized pricing,83.928,Critical,High discount level,45.0,High,No recent expansion signal,64.226,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=55.7, quality=19.6, discount=83.9"
CUST004285,Mid-Market,EMEA,Logistics,outbound_sdr,AM0003,1697.03,0.000178,1,42.476,Moderate,Usage deterioration,22.659,Critical,Weak realized pricing,100.0,Critical,High discount level,25.0,Critical,Low healthy expansion mix,64.056,High,Discount dependency,reprice at renewal,"High priority driven by Discount dependency; churn=42.5, quality=22.7, discount=100.0"
CUST003391,Mid-Market,EMEA,FinTech,content_marketing,AM0014,3438.51,0.000361,1,47.403,Moderate,Usage deterioration,18.094,Critical,Weak realized pricing,84.093,Critical,High discount level,42.62,High,No recent expansion signal,63.612,High,Churn risk pressure,review account manager behavior,"High priority driven by Churn risk pressure; churn=47.4, quality=18.1, discount=84.1"
CUST002188,SMB,North America,Media,self_serve,AM0012,466.86,4.9e-05,1,54.966,Moderate,Usage deterioration,18.616,Critical,Weak realized pricing,85.0,Critical,High discount level,45.0,High,No recent expansion signal,63.247,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=55.0, quality=18.6, discount=85.0"
CUST004463,SMB,APAC,FinTech,self_serve,AM0005,317.28,3.3e-05,1,56.808,High,Usage deterioration,18.16,Critical,Weak realized pricing,83.581,Critical,High discount level,45.0,High,No recent expansion signal,63.215,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=56.8, quality=18.2, discount=83.6"
CUST000119,Mid-Market,APAC,Retail,outbound_sdr,AM0005,2854.9,0.0003,1,58.419,High,Usage deterioration,25.729,High,Weak realized pricing,67.381,High,High discount level,45.0,High,No recent expansion signal,63.095,High,Churn risk pressure,prepare renewal intervention,"High priority driven by Churn risk pressure; churn=58.4, quality=25.7, discount=67.4"
CUST003216,Mid-Market,North America,Retail,enterprise_sales,AM0029,3524.65,0.00037,1,50.44,Moderate,Usage deterioration,20.614,Critical,Weak realized pricing,72.055,High,High discount level,42.62,High,No recent expansion signal,62.544,High,Churn risk pressure,prepare renewal intervention,"High priority driven by Churn risk pressure; churn=50.4, quality=20.6, discount=72.1"
CUST002805,SMB,EMEA,Education,content_marketing,AM0001,1388.25,0.000146,1,50.857,Moderate,Usage deterioration,19.018,Critical,Weak realized pricing,82.267,Critical,High discount level,45.0,High,No recent expansion signal,62.539,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=50.9, quality=19.0, discount=82.3"
CUST000258,Enterprise,North America,Healthcare,outbound_sdr,AM0012,9226.94,0.000969,1,39.81,Moderate,Discount pressure,20.019,Critical,Weak realized pricing,84.356,Critical,High discount level,45.0,High,No recent expansion signal,62.318,High,Revenue quality weakness,reprice at renewal,"High priority driven by Revenue quality weakness; churn=39.8, quality=20.0, discount=84.4"
CUST000675,Mid-Market,EMEA,SaaS,content_marketing,AM0038,982.94,0.000103,0,48.991,Moderate,Usage deterioration,20.691,Critical,Weak realized pricing,98.404,Critical,High discount level,23.0,Critical,Low healthy expansion mix,62.258,High,Churn risk pressure,review discount policy,"High priority driven by Churn risk pressure; churn=49.0, quality=20.7, discount=98.4"
CUST000632,Enterprise,North America,Retail,partner_referral,AM0007,8232.75,0.000864,1,29.901,Low,Discount pressure,25.546,High,Weak realized pricing,99.196,Critical,High discount level,23.0,Critical,Low healthy expansion mix,61.696,High,Discount dependency,reprice at renewal,"High priority driven by Discount dependency; churn=29.9, quality=25.5, discount=99.2"
CUST001011,Enterprise,APAC,FinTech,partner_referral,AM0024,13790.83,0.001448,1,42.505,Moderate,Usage deterioration,25.325,High,Weak realized pricing,68.709,High,High discount level,45.0,High,No recent expansion signal,61.06,High,Exposure concentration,prepare renewal intervention,"High priority driven by Exposure concentration; churn=42.5, quality=25.3, discount=68.7"
CUST000960,SMB,EMEA,Retail,self_serve,AM0026,435.57,4.6e-05,1,58.296,High,Usage deterioration,22.091,Critical,Weak realized pricing,67.536,High,High discount level,42.62,High,No recent expansion signal,60.87,High,Churn risk pressure,prepare renewal intervention,"High priority driven by Churn risk pressure; churn=58.3, quality=22.1, discount=67.5"
CUST000259,SMB,LATAM,Media,self_serve,AM0008,826.11,8.7e-05,1,35.992,Moderate,Discount pressure,19.428,Critical,Weak realized pricing,95.802,Critical,High discount level,22.611,Critical,Low healthy expansion mix,60.667,High,Revenue quality weakness,review account manager behavior,"High priority driven by Revenue quality weakness; churn=36.0, quality=19.4, discount=95.8"
CUST004229,SMB,EMEA,Healthcare,partner_referral,AM0017,462.72,4.9e-05,1,51.007,Moderate,Usage deterioration,19.582,Critical,Weak realized pricing,80.8,Critical,High discount level,45.0,High,No recent expansion signal,60.667,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=51.0, quality=19.6, discount=80.8"
CUST001975,SMB,EMEA,Media,self_serve,AM0021,1391.58,0.000146,1,55.071,High,Usage deterioration,26.483,High,Weak realized pricing,64.611,High,High discount level,45.0,High,No recent expansion signal,60.084,High,Churn risk pressure,prepare renewal intervention,"High priority driven by Churn risk pressure; churn=55.1, quality=26.5, discount=64.6"
CUST003264,Mid-Market,North America,Education,partner_referral,AM0004,2206.48,0.000232,1,44.218,Moderate,Usage deterioration,22.873,Critical,Weak realized pricing,76.905,Critical,High discount level,45.0,High,No recent expansion signal,59.61,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=44.2, quality=22.9, discount=76.9"
CUST002472,SMB,APAC,Healthcare,self_serve,AM0040,1286.7,0.000135,1,42.706,Moderate,Payment stress,19.29,Critical,Weak realized pricing,82.524,Critical,High discount level,45.0,High,No recent expansion signal,59.534,High,Revenue quality weakness,review account manager behavior,"High priority driven by Revenue quality weakness; churn=42.7, quality=19.3, discount=82.5"
CUST000716,SMB,North America,FinTech,self_serve,AM0007,1358.71,0.000143,0,42.872,Moderate,Usage deterioration,22.702,Critical,Weak realized pricing,90.526,Critical,High discount level,22.073,Critical,Low healthy expansion mix,59.333,High,Revenue quality weakness,review discount policy,"High priority driven by Revenue quality weakness; churn=42.9, quality=22.7, discount=90.5"
CUST003012,Enterprise,EMEA,SaaS,enterprise_sales,AM0017,17291.74,0.001816,0,36.081,Moderate,Discount pressure,18.661,Critical,Weak realized pricing,82.746,Critical,High discount level,42.62,High,No recent expansion signal,59.279,High,Exposure concentration,review discount policy,"High priority driven by Exposure concentration; churn=36.1, quality=18.7, discount=82.7"
CUST002333,SMB,LATAM,Retail,outbound_sdr,AM0024,837.04,8.8e-05,1,50.098,Moderate,Usage deterioration,22.857,Critical,Weak realized pricing,68.471,High,High discount level,42.62,High,No recent expansion signal,59.219,High,Churn risk pressure,prepare renewal intervention,"High priority driven by Churn risk pressure; churn=50.1, quality=22.9, discount=68.5"
CUST000376,Enterprise,EMEA,Media,enterprise_sales,AM0009,20893.87,0.002194,1,38.869,Moderate,Payment stress,44.414,High,Weak realized pricing,77.458,Critical,High discount level,33.176,High,Low healthy expansion mix,59.001,High,Exposure concentration,reprice at renewal,"High priority driven by Exposure concentration; churn=38.9, quality=44.4, discount=77.5"
CUST000679,SMB,EMEA,Manufacturing,paid_media,AM0039,600.57,6.3e-05,1,46.698,Moderate,Payment stress,18.387,Critical,Weak realized pricing,74.392,High,High discount level,42.62,High,No recent expansion signal,58.985,High,Churn risk pressure,prepare renewal intervention,"High priority driven by Churn risk pressure; churn=46.7, quality=18.4, discount=74.4"
CUST003703,SMB,North America,SaaS,self_serve,AM0020,1380.14,0.000145,1,31.391,Moderate,Payment stress,22.915,Critical,Weak realized pricing,91.705,Critical,High discount level,23.4,Critical,Low healthy expansion mix,58.754,High,Revenue quality weakness,reprice at renewal,"High priority driven by Revenue quality weakness; churn=31.4, quality=22.9, discount=91.7"
CUST001446,Enterprise,LATAM,Manufacturing,content_marketing,AM0030,8612.16,0.000904,0,40.505,Moderate,Usage deterioration,22.188,Critical,Weak realized pricing,85.0,Critical,High discount level,45.0,High,No recent expansion signal,58.623,High,Revenue quality weakness,review discount policy,"High priority driven by Revenue quality weakness; churn=40.5, quality=22.2, discount=85.0"
CUST002378,Enterprise,North America,Manufacturing,partner_referral,AM0036,8137.89,0.000854,1,35.482,Moderate,Usage deterioration,31.111,High,Weak realized pricing,75.172,Critical,Persistent discounting,33.475,High,Low healthy expansion mix,58.095,High,Exposure concentration,reprice at renewal,"High priority driven by Exposure concentration; churn=35.5, quality=31.1, discount=75.2"
CUST000320,Enterprise,North America,Retail,partner_referral,AM0020,7955.3,0.000835,0,41.149,Moderate,Sentiment/support deterioration,21.854,Critical,Weak realized pricing,79.464,Critical,High discount level,45.0,High,No recent expansion signal,57.905,High,Revenue quality weakness,review discount policy,"High priority driven by Revenue quality weakness; churn=41.1, quality=21.9, discount=79.5"
CUST000384,SMB,North America,Logistics,partner_referral,AM0008,453.43,4.8e-05,0,53.062,Moderate,Usage deterioration,19.667,Critical,Weak realized pricing,81.387,Critical,High discount level,45.0,High,No recent expansion signal,57.863,High,Churn risk pressure,review account manager behavior,"High priority driven by Churn risk pressure; churn=53.1, quality=19.7, discount=81.4"
CUST004098,SMB,LATAM,FinTech,self_serve,AM0022,701.22,7.4e-05,0,48.992,Moderate,Usage deterioration,20.469,Critical,Weak realized pricing,84.891,Critical,High discount level,45.0,High,No recent expansion signal,57.576,High,Churn risk pressure,review discount policy,"High priority driven by Churn risk pressure; churn=49.0, quality=20.5, discount=84.9"
CUST000175,Mid-Market,EMEA,Education,partner_referral,AM0015,3067.52,0.000322,1,38.737,Moderate,Payment stress,23.439,Critical,Weak realized pricing,71.213,High,High discount level,45.0,High,No recent expansion signal,57.447,High,Revenue quality weakness,prepare renewal intervention,"High priority driven by Revenue quality weakness; churn=38.7, quality=23.4, discount=71.2"
CUST000107,SMB,North America,Healthcare,paid_media,AM0028,611.15,6.4e-05,1,38.484,Moderate,Payment stress,16.98,Critical,Weak realized pricing,82.165,Critical,High discount level,43.06233333333333,High,No recent expansion signal,57.321,High,Revenue quality weakness,reprice at renewal,"High priority driven by Revenue quality weakness; churn=38.5, quality=17.0, discount=82.2"
CUST001020,Enterprise,APAC,Logistics,partner_referral,AM0002,8867.56,0.000931,0,36.882,Moderate,Discount pressure,20.374,Critical,Weak realized pricing,80.742,Critical,High discount level,44.306666666666665,High,No recent expansion signal,57.279,High,Revenue quality weakness,review discount policy,"High priority driven by Revenue quality weakness; churn=36.9, quality=20.4, discount=80.7"
CUST003577,SMB,APAC,Manufacturing,self_serve,AM0016,1404.35,0.000147,1,36.27,Moderate,Payment stress,32.293,High,Weak realized pricing,84.037,Critical,High discount level,24.742,Critical,Low healthy expansion mix,57.226,High,Discount dependency,reprice at renewal,"High priority driven by Discount dependency; churn=36.3, quality=32.3, discount=84.0"
CUST000690,Enterprise,North America,SaaS,enterprise_sales,AM0029,39160.88,0.004112,1,31.729,Moderate,Payment stress,47.508,Moderate,Weak realized pricing,74.155,High,Persistent discounting,30.766,High,Low healthy expansion mix,57.22,High,Exposure concentration,prepare renewal intervention,"High priority driven by Exposure concentration; churn=31.7, quality=47.5, discount=74.2"
CUST002875,Enterprise,EMEA,SaaS,enterprise_sales,AM0015,6382.69,0.00067,0,41.201,Moderate,Sentiment/support deterioration,21.589,Critical,Weak realized pricing,75.346,Critical,High discount level,42.62,High,No recent expansion signal,57.178,High,Revenue quality weakness,review discount policy,"High priority driven by Revenue quality weakness; churn=41.2, quality=21.6, discount=75.3"
CUST003349,Mid-Market,North America,Healthcare,enterprise_sales,AM0029,3092.7,0.000325,0,33.582,Moderate,Usage deterioration,26.129,High,Weak realized pricing,92.739,Critical,High discount level,24.091,Critical,Low healthy expansion mix,57.149,High,Discount dependency,review account manager behavior,"High priority driven by Discount dependency; churn=33.6, quality=26.1, discount=92.7"
CUST004064,SMB,North America,FinTech,self_serve,AM0007,1194.53,0.000125,0,33.616,Moderate,Discount pressure,23.611,Critical,Weak realized pricing,97.934,Critical,High discount level,23.0,Critical,Low healthy expansion mix,57.032,High,Discount dependency,review discount policy,"High priority driven by Discount dependency; churn=33.6, quality=23.6, discount=97.9"
CUST004067,SMB,North America,Media,content_marketing,AM0032,1221.24,0.000128,1,48.513,Moderate,Usage deterioration,27.396,High,Weak realized pricing,63.071,High,High discount level,45.0,High,No recent expansion signal,57.024,High,Churn risk pressure,prepare renewal intervention,"High priority driven by Churn risk pressure; churn=48.5, quality=27.4, discount=63.1"
CUST002170,SMB,EMEA,Education,self_serve,AM0021,508.42,5.3e-05,1,39.561,Moderate,Discount pressure,19.818,Critical,Weak realized pricing,83.119,Critical,High discount level,45.0,High,No recent expansion signal,57.017,High,Revenue quality weakness,reprice at renewal,"High priority driven by Revenue quality weakness; churn=39.6, quality=19.8, discount=83.1"
CUST004318,Mid-Market,APAC,Logistics,partner_referral,AM0040,3496.53,0.000367,1,28.439,Low,Discount pressure,38.026,High,Weak realized pricing,95.503,Critical,High discount level,22.476,Critical,Low healthy expansion mix,56.925,High,Discount dependency,review account manager behavior,"High priority driven by Discount dependency; churn=28.4, quality=38.0, discount=95.5"
CUST002383,SMB,North America,FinTech,partner_referral,AM0028,502.14,5.3e-05,1,34.18,Moderate,Payment stress,26.067,High,Weak realized pricing,87.038,Critical,High discount level,25.565,High,Low healthy expansion mix,56.702,High,Revenue quality weakness,reprice at renewal,"High priority driven by Revenue quality weakness; churn=34.2, quality=26.1, discount=87.0"
CUST002206,SMB,North America,Manufacturing,self_serve,AM0036,292.2,3.1e-05,1,43.047,Moderate,Payment stress,18.051,Critical,Weak realized pricing,71.937,High,High discount level,40.23714285714286,High,No recent expansion signal,56.558,High,Revenue quality weakness,prepare renewal intervention,"High priority driven by Revenue quality weakness; churn=43.0, quality=18.1, discount=71.9"
CUST000953,Mid-Market,LATAM,FinTech,partner_referral,AM0004,1131.32,0.000119,1,44.895,Moderate,Usage deterioration,27.493,High,Weak realized pricing,64.774,High,High discount level,45.0,High,No recent expansion signal,56.435,High,Churn risk pressure,prepare renewal intervention,"High priority driven by Churn risk pressure; churn=44.9, quality=27.5, discount=64.8"
CUST000866,SMB,LATAM,Media,self_serve,AM0037,0.0,0.0,0,68.971,High,Usage deterioration,10.613,Critical,Weak realized pricing,80.0,Critical,High discount level,39.285714285714285,High,No recent expansion signal,56.232,High,Churn risk pressure,escalate to customer success,"High priority driven by Churn risk pressure; churn=69.0, quality=10.6, discount=80.0"
CUST000642,Mid-Market,APAC,Retail,outbound_sdr,AM0006,4470.73,0.000469,1,42.587,Moderate,Usage deterioration,28.929,High,Weak realized pricing,58.77,High,Persistent discounting,45.0,High,No recent expansion signal,56.149,High,Churn risk pressure,prepare renewal intervention,"High priority driven by Churn risk pressure; churn=42.6, quality=28.9, discount=58.8"
CUST004352,Enterprise,APAC,Manufacturing,enterprise_sales,AM0040,34366.08,0.003609,1,34.863,Moderate,Payment stress,37.949,High,Weak realized pricing,66.622,High,High discount level,53.92666666666667,Moderate,No recent expansion signal,56.112,High,Exposure concentration,prepare renewal intervention,"High priority driven by Exposure concentration; churn=34.9, quality=37.9, discount=66.6"
CUST003915,SMB,North America,Manufacturing,paid_media,AM0020,243.7,2.6e-05,1,46.245,Moderate,Payment stress,21.207,Critical,Weak realized pricing,68.652,High,High discount level,42.62,High,No recent expansion signal,55.95,High,Churn risk pressure,prepare renewal intervention,"High priority driven by Churn risk pressure; churn=46.2, quality=21.2, discount=68.7"
CUST002898,Mid-Market,North America,FinTech,content_marketing,AM0032,4786.98,0.000503,1,21.742,Low,Discount pressure,33.922,High,Weak realized pricing,93.832,Critical,High discount level,24.733,Critical,Low healthy expansion mix,55.583,High,Discount dependency,reprice at renewal,"High priority driven by Discount dependency; churn=21.7, quality=33.9, discount=93.8"
CUST000858,SMB,North America,SaaS,self_serve,AM0008,242.49,2.5e-05,0,46.203,Moderate,Usage deterioration,19.003,Critical,Weak realized pricing,83.948,Critical,High discount level,42.62,High,No recent expansion signal,55.51,High,Churn risk pressure,review account manager behavior,"High priority driven by Churn risk pressure; churn=46.2, quality=19.0, discount=83.9"
CUST000057,Mid-Market,North America,FinTech,outbound_sdr,AM0019,3826.47,0.000402,0,25.69,Low,Discount pressure,28.5,High,Weak realized pricing,97.631,Critical,High discount level,24.177,Critical,Low healthy expansion mix,55.271,High,Discount dependency,review discount policy,"High priority driven by Discount dependency; churn=25.7, quality=28.5, discount=97.6"
CUST000351,SMB,APAC,Manufacturing,paid_media,AM0016,275.57,2.9e-05,1,50.408,Moderate,Usage deterioration,27.014,High,Weak realized pricing,59.213,High,Persistent discounting,42.62,High,No recent expansion signal,55.21,High,Churn risk pressure,prepare renewal intervention,"High priority driven by Churn risk pressure; churn=50.4, quality=27.0, discount=59.2"
CUST003004,SMB,EMEA,Retail,self_serve,AM0026,969.48,0.000102,0,47.684,Moderate,Usage deterioration,23.731,Critical,Weak realized pricing,71.834,High,High discount level,45.0,High,No recent expansion signal,55.087,High,Churn risk pressure,monitor only,"High priority driven by Churn risk pressure; churn=47.7, quality=23.7, discount=71.8"
