customer_id,current_month,churn_risk_inputs,revenue_quality_inputs,account_fragility_inputs,forward_risk_flags
CUST000011,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": 46.997, ""trailing_3m_payment_delay_avg"": 11.333, ""trailing_3m_support_ticket_avg"": 0.667, ""trailing_3m_usage_trend"": -1.19}","{""avg_discount_pct"": 0.12359068890127319, ""current_mrr"": 466.54, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.8764093110987268, ""revenue_quality_flag"": ""watch""}","{""churn_history_flag"": 0, ""concentration_weight"": 4.9e-05, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0833, ""renewal_risk_proxy"": 0.024999999999999998, ""seat_growth_rate"": 0.0}",[]
CUST000012,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": 41.78, ""trailing_3m_payment_delay_avg"": 18.0, ""trailing_3m_support_ticket_avg"": 1.0, ""trailing_3m_usage_trend"": -9.135}","{""avg_discount_pct"": 0.0, ""current_mrr"": 0.0, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.0, ""revenue_quality_flag"": ""inactive""}","{""churn_history_flag"": 1, ""concentration_weight"": 0.0, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.21363636363636365, ""seat_growth_rate"": 0.0}","[""usage_declining""]"
CUST000013,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 1, ""trailing_3m_nps_avg"": 39.16, ""trailing_3m_payment_delay_avg"": 12.667, ""trailing_3m_support_ticket_avg"": 0.667, ""trailing_3m_usage_trend"": 1.65}","{""avg_discount_pct"": 0.20402759234534937, ""current_mrr"": 898.8, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.7959724076546506, ""revenue_quality_flag"": ""watch""}","{""churn_history_flag"": 0, ""concentration_weight"": 9.4e-05, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.38593251319219274, ""seat_growth_rate"": 0.0}",[]
CUST000014,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": 30.813, ""trailing_3m_payment_delay_avg"": 8.0, ""trailing_3m_support_ticket_avg"": 2.667, ""trailing_3m_usage_trend"": -2.36}","{""avg_discount_pct"": 0.22914760498894268, ""current_mrr"": 2699.57, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.770856099304704, ""revenue_quality_flag"": ""watch""}","{""churn_history_flag"": 0, ""concentration_weight"": 0.000283, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.022021086426991812, ""seat_growth_rate"": 0.0}",[]
CUST000015,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": 24.863, ""trailing_3m_payment_delay_avg"": 12.333, ""trailing_3m_support_ticket_avg"": 1.667, ""trailing_3m_usage_trend"": -2.34}","{""avg_discount_pct"": 0.17419581306005444, ""current_mrr"": 1025.57, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.8258139376151798, ""revenue_quality_flag"": ""watch""}","{""churn_history_flag"": 0, ""concentration_weight"": 0.000108, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.1667, ""renewal_risk_proxy"": 0.03853636363636363, ""seat_growth_rate"": 0.2222}",[]
CUST000016,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": 32.733, ""trailing_3m_payment_delay_avg"": 13.0, ""trailing_3m_support_ticket_avg"": 1.333, ""trailing_3m_usage_trend"": -1.07}","{""avg_discount_pct"": 0.0, ""current_mrr"": 0.0, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.0, ""revenue_quality_flag"": ""inactive""}","{""churn_history_flag"": 1, ""concentration_weight"": 0.0, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.21363636363636365, ""seat_growth_rate"": 0.0}",[]
CUST000017,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": 64.613, ""trailing_3m_payment_delay_avg"": 9.667, ""trailing_3m_support_ticket_avg"": 2.667, ""trailing_3m_usage_trend"": -0.95}","{""avg_discount_pct"": 0.2447651663405088, ""current_mrr"": 613.2, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.7552348336594912, ""revenue_quality_flag"": ""watch""}","{""churn_history_flag"": 0, ""concentration_weight"": 6.4e-05, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.05175216662007268, ""seat_growth_rate"": 0.0}",[]
CUST000018,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": 86.94, ""trailing_3m_payment_delay_avg"": 7.333, ""trailing_3m_support_ticket_avg"": 0.0, ""trailing_3m_usage_trend"": -0.0}","{""avg_discount_pct"": 0.19367521367521368, ""current_mrr"": 292.5, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.8063247863247863, ""revenue_quality_flag"": ""watch""}","{""churn_history_flag"": 0, ""concentration_weight"": 3.1e-05, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.021953601953601954, ""seat_growth_rate"": 0.0}",[]
CUST000019,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 1, ""trailing_3m_nps_avg"": 81.953, ""trailing_3m_payment_delay_avg"": 11.0, ""trailing_3m_support_ticket_avg"": 6.0, ""trailing_3m_usage_trend"": 3.98}","{""avg_discount_pct"": 0.17321673795606524, ""current_mrr"": 14847.93, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.8267832620439347, ""revenue_quality_flag"": ""watch""}","{""churn_history_flag"": 0, ""concentration_weight"": 0.001559, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.25, ""renewal_risk_proxy"": 0.3725, ""seat_growth_rate"": 0.0504}",[]
CUST000020,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": 52.783, ""trailing_3m_payment_delay_avg"": 8.0, ""trailing_3m_support_ticket_avg"": 10.0, ""trailing_3m_usage_trend"": 5.785}","{""avg_discount_pct"": 0.23676534565425322, ""current_mrr"": 13079.11, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.7632346543457468, ""revenue_quality_flag"": ""watch""}","{""churn_history_flag"": 0, ""concentration_weight"": 0.001373, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.08310933509346476, ""seat_growth_rate"": 0.0}",[]
CUST000021,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": 55.093, ""trailing_3m_payment_delay_avg"": 14.0, ""trailing_3m_support_ticket_avg"": 1.333, ""trailing_3m_usage_trend"": 13.83}","{""avg_discount_pct"": 0.11387253438966817, ""current_mrr"": 368.57, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.886127465610332, ""revenue_quality_flag"": ""watch""}","{""churn_history_flag"": 0, ""concentration_weight"": 3.9e-05, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.03, ""seat_growth_rate"": 0.0}",[]
CUST000022,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": 37.5, ""trailing_3m_payment_delay_avg"": 12.333, ""trailing_3m_support_ticket_avg"": 2.0, ""trailing_3m_usage_trend"": -2.765}","{""avg_discount_pct"": 0.0, ""current_mrr"": 0.0, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.0, ""revenue_quality_flag"": ""inactive""}","{""churn_history_flag"": 1, ""concentration_weight"": 0.0, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.21363636363636365, ""seat_growth_rate"": 0.0}","[""usage_declining""]"
CUST000023,2026-02-01,"{""contraction_frequency"": 0.0833, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": 56.333, ""trailing_3m_payment_delay_avg"": 14.0, ""trailing_3m_support_ticket_avg"": 1.333, ""trailing_3m_usage_trend"": 8.245}","{""avg_discount_pct"": 0.12104988003771576, ""current_mrr"": 2142.34, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.8789501199622841, ""revenue_quality_flag"": ""watch""}","{""churn_history_flag"": 0, ""concentration_weight"": 0.000225, ""contraction_frequency"": 0.0833, ""expansion_frequency"": 0.0833, ""renewal_risk_proxy"": 0.027499999999999997, ""seat_growth_rate"": -0.1803}",[]
CUST000024,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": 73.077, ""trailing_3m_payment_delay_avg"": 9.0, ""trailing_3m_support_ticket_avg"": 6.0, ""trailing_3m_usage_trend"": 6.815}","{""avg_discount_pct"": 0.14253009206592876, ""current_mrr"": 11999.01, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.8574699079340713, ""revenue_quality_flag"": ""watch""}","{""churn_history_flag"": 0, ""concentration_weight"": 0.00126, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0833, ""renewal_risk_proxy"": 0.0125, ""seat_growth_rate"": 0.0}",[]
CUST000025,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 1, ""trailing_3m_nps_avg"": 32.23, ""trailing_3m_payment_delay_avg"": 18.0, ""trailing_3m_support_ticket_avg"": 1.667, ""trailing_3m_usage_trend"": 2.04}","{""avg_discount_pct"": 0.012613628356000281, ""current_mrr"": 425.73, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.9873863716439997, ""revenue_quality_flag"": ""watch""}","{""churn_history_flag"": 0, ""concentration_weight"": 4.5e-05, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0833, ""renewal_risk_proxy"": 0.40499999999999997, ""seat_growth_rate"": 0.1429}",[]
CUST000026,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 1, ""trailing_3m_nps_avg"": 30.93, ""trailing_3m_payment_delay_avg"": 18.0, ""trailing_3m_support_ticket_avg"": 1.667, ""trailing_3m_usage_trend"": -6.065}","{""avg_discount_pct"": 0.28408673281881663, ""current_mrr"": 380.94, ""discount_dependency_flag"": 1, ""realized_price_index"": 0.7159132671811834, ""revenue_quality_flag"": ""fragile""}","{""churn_history_flag"": 0, ""concentration_weight"": 4e-05, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.42013771507801273, ""seat_growth_rate"": 0.0}","[""usage_declining"", ""discount_dependency""]"
CUST000027,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": 28.927, ""trailing_3m_payment_delay_avg"": 18.333, ""trailing_3m_support_ticket_avg"": 2.0, ""trailing_3m_usage_trend"": -2.67}","{""avg_discount_pct"": 0.0, ""current_mrr"": 0.0, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.0, ""revenue_quality_flag"": ""inactive""}","{""churn_history_flag"": 1, ""concentration_weight"": 0.0, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.21363636363636365, ""seat_growth_rate"": 0.0}","[""usage_declining"", ""discount_dependency""]"
CUST000028,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": 54.183, ""trailing_3m_payment_delay_avg"": 17.667, ""trailing_3m_support_ticket_avg"": 0.0, ""trailing_3m_usage_trend"": 2.425}","{""avg_discount_pct"": 0.0, ""current_mrr"": 0.0, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.0, ""revenue_quality_flag"": ""inactive""}","{""churn_history_flag"": 1, ""concentration_weight"": 0.0, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.21363636363636365, ""seat_growth_rate"": 0.0}",[]
CUST000029,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 1, ""trailing_3m_nps_avg"": 53.717, ""trailing_3m_payment_delay_avg"": 17.0, ""trailing_3m_support_ticket_avg"": 0.667, ""trailing_3m_usage_trend"": 1.935}","{""avg_discount_pct"": 0.26214168283909567, ""current_mrr"": 1617.98, ""discount_dependency_flag"": 1, ""realized_price_index"": 0.7378644977070173, ""revenue_quality_flag"": ""fragile""}","{""churn_history_flag"": 0, ""concentration_weight"": 0.00017, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.25, ""renewal_risk_proxy"": 0.3842345261198708, ""seat_growth_rate"": 0.0}","[""discount_dependency""]"
CUST000030,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": 42.317, ""trailing_3m_payment_delay_avg"": 14.0, ""trailing_3m_support_ticket_avg"": 2.667, ""trailing_3m_usage_trend"": -3.215}","{""avg_discount_pct"": 0.1315904747998654, ""current_mrr"": 1575.19, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.8684158736406402, ""revenue_quality_flag"": ""watch""}","{""churn_history_flag"": 0, ""concentration_weight"": 0.000165, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.1818, ""renewal_risk_proxy"": 0.045, ""seat_growth_rate"": 0.0}","[""usage_declining""]"
CUST000031,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": 3.677, ""trailing_3m_payment_delay_avg"": 16.0, ""trailing_3m_support_ticket_avg"": 2.333, ""trailing_3m_usage_trend"": 3.1}","{""avg_discount_pct"": 0.18407920792079208, ""current_mrr"": 505.0, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.815920792079208, ""revenue_quality_flag"": ""watch""}","{""churn_history_flag"": 0, ""concentration_weight"": 5.3e-05, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.12894183489777544, ""seat_growth_rate"": 0.2222}","[""low_nps""]"
CUST000032,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 1, ""trailing_3m_nps_avg"": 81.557, ""trailing_3m_payment_delay_avg"": 9.667, ""trailing_3m_support_ticket_avg"": 0.333, ""trailing_3m_usage_trend"": 4.47}","{""avg_discount_pct"": 0.1699520059695755, ""current_mrr"": 1768.97, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.8300479940304244, ""revenue_quality_flag"": ""watch""}","{""churn_history_flag"": 0, ""concentration_weight"": 0.000186, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.35, ""seat_growth_rate"": 0.0}",[]
CUST000033,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 1, ""trailing_3m_nps_avg"": 87.55, ""trailing_3m_payment_delay_avg"": 8.333, ""trailing_3m_support_ticket_avg"": 0.0, ""trailing_3m_usage_trend"": 5.725}","{""avg_discount_pct"": 0.1680138129933212, ""current_mrr"": 1054.08, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.8319861870066789, ""revenue_quality_flag"": ""watch""}","{""churn_history_flag"": 0, ""concentration_weight"": 0.000111, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.1667, ""renewal_risk_proxy"": 0.365, ""seat_growth_rate"": 0.0417}",[]
CUST000034,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": 46.66, ""trailing_3m_payment_delay_avg"": 14.0, ""trailing_3m_support_ticket_avg"": 0.333, ""trailing_3m_usage_trend"": 0.725}","{""avg_discount_pct"": 0.0, ""current_mrr"": 0.0, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.0, ""revenue_quality_flag"": ""inactive""}","{""churn_history_flag"": 1, ""concentration_weight"": 0.0, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.21363636363636365, ""seat_growth_rate"": 0.0}",[]
CUST000035,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 1, ""trailing_3m_nps_avg"": 52.083, ""trailing_3m_payment_delay_avg"": 12.333, ""trailing_3m_support_ticket_avg"": 2.667, ""trailing_3m_usage_trend"": 1.13}","{""avg_discount_pct"": 0.24772307357895879, ""current_mrr"": 2760.3, ""discount_dependency_flag"": 1, ""realized_price_index"": 0.7522769264210413, ""revenue_quality_flag"": ""fragile""}","{""churn_history_flag"": 0, ""concentration_weight"": 0.00029, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0833, ""renewal_risk_proxy"": 0.39967472479699406, ""seat_growth_rate"": 0.0962}","[""discount_dependency""]"
CUST000036,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": 43.797, ""trailing_3m_payment_delay_avg"": 14.667, ""trailing_3m_support_ticket_avg"": 0.333, ""trailing_3m_usage_trend"": 3.8}","{""avg_discount_pct"": 0.2002384105960265, ""current_mrr"": 377.5, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.7997615894039736, ""revenue_quality_flag"": ""watch""}","{""churn_history_flag"": 0, ""concentration_weight"": 4e-05, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.050391201513718065, ""seat_growth_rate"": 0.0}",[]
CUST000037,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 1, ""trailing_3m_nps_avg"": 22.367, ""trailing_3m_payment_delay_avg"": 16.333, ""trailing_3m_support_ticket_avg"": 1.333, ""trailing_3m_usage_trend"": 4.07}","{""avg_discount_pct"": 0.11468779564806054, ""current_mrr"": 422.8, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.8853122043519395, ""revenue_quality_flag"": ""watch""}","{""churn_history_flag"": 0, ""concentration_weight"": 4.4e-05, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.38, ""seat_growth_rate"": 0.0}",[]
CUST000038,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": 59.357, ""trailing_3m_payment_delay_avg"": 5.667, ""trailing_3m_support_ticket_avg"": 0.0, ""trailing_3m_usage_trend"": 1.45}","{""avg_discount_pct"": 0.2078144078144078, ""current_mrr"": 327.6, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.792185592185592, ""revenue_quality_flag"": ""watch""}","{""churn_history_flag"": 0, ""concentration_weight"": 3.4e-05, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.02397348683062969, ""seat_growth_rate"": 0.0}",[]
CUST000039,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": 33.357, ""trailing_3m_payment_delay_avg"": 14.333, ""trailing_3m_support_ticket_avg"": 2.0, ""trailing_3m_usage_trend"": -10.065}","{""avg_discount_pct"": 0.0, ""current_mrr"": 0.0, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.0, ""revenue_quality_flag"": ""inactive""}","{""churn_history_flag"": 1, ""concentration_weight"": 0.0, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.21363636363636365, ""seat_growth_rate"": 0.0}","[""usage_declining""]"
CUST000040,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": 58.65, ""trailing_3m_payment_delay_avg"": 8.0, ""trailing_3m_support_ticket_avg"": 5.333, ""trailing_3m_usage_trend"": -2.1}","{""avg_discount_pct"": 0.14345898887592817, ""current_mrr"": 8787.25, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.8565410111240719, ""revenue_quality_flag"": ""watch""}","{""churn_history_flag"": 0, ""concentration_weight"": 0.000923, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.025, ""seat_growth_rate"": 0.0}",[]
CUST000041,2026-02-01,"{""contraction_frequency"": 0.0833, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": 62.137, ""trailing_3m_payment_delay_avg"": 17.0, ""trailing_3m_support_ticket_avg"": 1.667, ""trailing_3m_usage_trend"": -0.325}","{""avg_discount_pct"": 0.10447086186845847, ""current_mrr"": 309.56, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.8955291381315417, ""revenue_quality_flag"": ""watch""}","{""churn_history_flag"": 0, ""concentration_weight"": 3.3e-05, ""contraction_frequency"": 0.0833, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.024999999999999998, ""seat_growth_rate"": 0.0}",[]
