customer_id,signup_date,region,segment,company_size,industry,acquisition_channel,account_manager_id,lifecycle_stage
CUST000030,2025-04-01,LATAM,SMB,1-20,SaaS,outbound_sdr,AM0001,Active
CUST000031,2025-09-01,North America,SMB,1-20,Retail,self_serve,AM0035,Active
CUST000032,2021-12-01,North America,Mid-Market,201-500,SaaS,outbound_sdr,AM0032,Renewing Soon
CUST000033,2021-10-01,APAC,Mid-Market,51-200,FinTech,partner_referral,AM0006,Renewing Soon
CUST000034,2024-12-01,North America,SMB,1-20,FinTech,self_serve,AM0036,Churned
CUST000035,2022-03-01,North America,Mid-Market,51-200,Healthcare,partner_referral,AM0036,Renewing Soon
CUST000036,2024-04-01,EMEA,SMB,21-50,SaaS,self_serve,AM0039,Active
CUST000037,2025-06-01,APAC,SMB,1-20,Healthcare,self_serve,AM0040,Renewing Soon
CUST000038,2025-01-01,North America,SMB,1-20,FinTech,partner_referral,AM0011,Active
CUST000039,2022-12-01,North America,Mid-Market,201-500,SaaS,outbound_sdr,AM0028,Churned
CUST000040,2024-07-01,APAC,Enterprise,501-1000,Logistics,outbound_sdr,AM0005,Active
CUST000041,2023-11-01,LATAM,SMB,51-200,Healthcare,self_serve,AM0028,Active
CUST000042,2023-08-01,EMEA,SMB,1-20,SaaS,self_serve,AM0021,Active
CUST000043,2024-10-01,North America,SMB,1-20,Manufacturing,self_serve,AM0036,Active
CUST000044,2022-05-01,North America,SMB,1-20,SaaS,self_serve,AM0036,Renewing Soon
CUST000045,2024-12-01,North America,SMB,21-50,Education,self_serve,AM0012,Renewing Soon
CUST000046,2023-11-01,North America,SMB,21-50,SaaS,partner_referral,AM0012,Active
CUST000047,2022-02-01,EMEA,SMB,1-20,Manufacturing,outbound_sdr,AM0001,Churned
CUST000048,2022-12-01,North America,SMB,1-20,Media,self_serve,AM0028,Renewing Soon
CUST000049,2024-07-01,EMEA,SMB,21-50,SaaS,self_serve,AM0018,Active
CUST000050,2025-12-01,EMEA,Mid-Market,501-1000,FinTech,outbound_sdr,AM0039,Onboarding
CUST000051,2021-10-01,EMEA,SMB,1-20,Retail,content_marketing,AM0030,Churned
CUST000052,2021-07-01,North America,Mid-Market,51-200,Media,outbound_sdr,AM0020,Renewing Soon
CUST000053,2022-09-01,APAC,Enterprise,501-1000,Healthcare,enterprise_sales,AM0016,Renewing Soon
CUST000054,2024-09-01,EMEA,SMB,1-20,Retail,partner_referral,AM0025,Churned
CUST000055,2024-01-01,APAC,SMB,21-50,SaaS,partner_referral,AM0040,Active
CUST000056,2025-05-01,North America,SMB,51-200,Retail,content_marketing,AM0037,Active
CUST000057,2024-04-01,North America,Mid-Market,501-1000,FinTech,outbound_sdr,AM0019,Active
CUST000058,2024-06-01,LATAM,SMB,21-50,Retail,paid_media,AM0015,Renewing Soon
CUST000059,2025-11-01,North America,SMB,1-20,SaaS,self_serve,AM0032,Onboarding
CUST000060,2023-10-01,North America,SMB,51-200,Manufacturing,content_marketing,AM0011,Active
CUST000061,2025-06-01,EMEA,SMB,1-20,FinTech,partner_referral,AM0009,Active
CUST000062,2024-02-01,EMEA,SMB,1-20,Retail,self_serve,AM0015,Active
CUST000063,2021-12-01,LATAM,Mid-Market,201-500,Education,enterprise_sales,AM0013,Renewing Soon
CUST000064,2024-10-01,North America,SMB,1-20,Logistics,paid_media,AM0029,Active
CUST000065,2025-02-01,LATAM,SMB,21-50,Media,partner_referral,AM0030,Active
CUST000066,2024-09-01,North America,Mid-Market,501-1000,Manufacturing,outbound_sdr,AM0008,Renewing Soon
CUST000067,2023-07-01,EMEA,SMB,21-50,Retail,paid_media,AM0001,Active
CUST000068,2025-10-01,EMEA,Mid-Market,501-1000,SaaS,outbound_sdr,AM0009,Active
CUST000069,2024-05-01,North America,SMB,1-20,Logistics,content_marketing,AM0036,Active
CUST000070,2024-03-01,North America,SMB,1-20,Retail,self_serve,AM0011,Renewing Soon
CUST000071,2023-11-01,North America,Enterprise,5000+,Manufacturing,enterprise_sales,AM0028,Active
CUST000072,2026-01-01,LATAM,SMB,21-50,Manufacturing,partner_referral,AM0022,Onboarding
CUST000073,2025-10-01,EMEA,SMB,51-200,Education,content_marketing,AM0015,Active
CUST000074,2021-12-01,LATAM,Enterprise,501-1000,Logistics,partner_referral,AM0034,Renewing Soon
CUST000075,2022-04-01,APAC,Mid-Market,51-200,Education,content_marketing,AM0002,Churned
CUST000076,2023-03-01,EMEA,Mid-Market,201-500,Manufacturing,content_marketing,AM0022,Renewing Soon
CUST000077,2023-05-01,APAC,SMB,21-50,Healthcare,content_marketing,AM0013,Active
CUST000078,2025-02-01,North America,SMB,21-50,Media,self_serve,AM0034,Active
CUST000079,2022-07-01,North America,Mid-Market,501-1000,Retail,outbound_sdr,AM0010,Renewing Soon
CUST000080,2022-08-01,APAC,SMB,1-20,Manufacturing,paid_media,AM0040,Churned
CUST000081,2021-11-01,APAC,SMB,1-20,Retail,self_serve,AM0033,Renewing Soon
CUST000082,2023-02-01,North America,Mid-Market,51-200,Retail,partner_referral,AM0032,Renewing Soon
CUST000083,2025-04-01,EMEA,SMB,1-20,Education,paid_media,AM0021,Active
CUST000084,2025-01-01,EMEA,SMB,1-20,Manufacturing,self_serve,AM0025,Active
CUST000085,2023-09-01,APAC,SMB,21-50,Logistics,partner_referral,AM0005,Renewing Soon
CUST000086,2025-04-01,EMEA,SMB,1-20,Logistics,content_marketing,AM0001,Active
CUST000087,2025-11-01,North America,Mid-Market,201-500,Manufacturing,content_marketing,AM0032,Churned
CUST000088,2022-12-01,North America,Enterprise,1001-5000,SaaS,outbound_sdr,AM0020,Churned
CUST000089,2025-03-01,EMEA,SMB,21-50,Retail,self_serve,AM0017,Renewing Soon
CUST000090,2021-11-01,EMEA,SMB,1-20,Retail,self_serve,AM0015,Renewing Soon
CUST000091,2024-07-01,APAC,SMB,1-20,Manufacturing,self_serve,AM0016,Active
CUST000092,2022-09-01,EMEA,SMB,21-50,Logistics,paid_media,AM0022,Renewing Soon
CUST000093,2023-03-01,North America,SMB,21-50,SaaS,self_serve,AM0031,Churned
CUST000094,2023-10-01,North America,Enterprise,5000+,FinTech,outbound_sdr,AM0037,Active
CUST000095,2025-11-01,APAC,SMB,1-20,Logistics,self_serve,AM0033,Onboarding
CUST000096,2023-01-01,APAC,SMB,1-20,Media,paid_media,AM0006,Renewing Soon
CUST000097,2024-08-01,North America,Enterprise,5000+,Manufacturing,partner_referral,AM0010,Active
CUST000098,2025-11-01,North America,SMB,1-20,FinTech,self_serve,AM0008,Onboarding
CUST000099,2022-02-01,EMEA,Enterprise,1001-5000,Manufacturing,partner_referral,AM0023,Churned
CUST000100,2024-07-01,North America,SMB,51-200,Manufacturing,content_marketing,AM0035,Active
CUST000101,2025-04-01,APAC,SMB,1-20,Manufacturing,content_marketing,AM0006,Active
CUST000102,2025-01-01,North America,Enterprise,1001-5000,FinTech,partner_referral,AM0037,Active
CUST000103,2023-09-01,North America,SMB,21-50,Healthcare,paid_media,AM0019,Active
CUST000104,2022-05-01,LATAM,SMB,1-20,Retail,paid_media,AM0032,Renewing Soon
CUST000105,2025-03-01,North America,SMB,21-50,Retail,content_marketing,AM0011,Renewing Soon
CUST000106,2025-04-01,North America,Mid-Market,201-500,Retail,partner_referral,AM0008,Active
CUST000107,2021-10-01,North America,SMB,21-50,Healthcare,paid_media,AM0028,Renewing Soon
CUST000108,2025-02-01,North America,SMB,51-200,Healthcare,self_serve,AM0028,Churned
CUST000109,2025-06-01,North America,Mid-Market,501-1000,Healthcare,content_marketing,AM0020,Renewing Soon
CUST000110,2024-03-01,North America,Mid-Market,51-200,Media,outbound_sdr,AM0019,Renewing Soon
CUST000111,2023-05-01,North America,SMB,21-50,Healthcare,outbound_sdr,AM0031,Active
CUST000112,2023-05-01,North America,SMB,51-200,Retail,self_serve,AM0031,Active
CUST000113,2021-10-01,EMEA,SMB,21-50,Manufacturing,paid_media,AM0009,Churned
CUST000114,2025-06-01,EMEA,SMB,21-50,Logistics,self_serve,AM0025,Churned
CUST000115,2022-12-01,North America,SMB,1-20,Healthcare,self_serve,AM0012,Renewing Soon
CUST000116,2024-08-01,North America,SMB,21-50,Manufacturing,self_serve,AM0034,Active
CUST000117,2022-08-01,EMEA,SMB,1-20,Logistics,content_marketing,AM0021,Churned
CUST000118,2023-01-01,APAC,SMB,1-20,SaaS,self_serve,AM0005,Renewing Soon
CUST000119,2022-02-01,APAC,Mid-Market,501-1000,Retail,outbound_sdr,AM0005,Renewing Soon
CUST000120,2022-05-01,North America,SMB,51-200,Healthcare,self_serve,AM0037,Churned
CUST000121,2023-11-01,North America,Enterprise,5000+,Media,enterprise_sales,AM0032,Active
CUST000122,2025-02-01,North America,Enterprise,1001-5000,Education,content_marketing,AM0010,Active
CUST000123,2025-05-01,North America,Mid-Market,51-200,SaaS,partner_referral,AM0028,Active
CUST000124,2025-02-01,EMEA,Enterprise,1001-5000,Logistics,outbound_sdr,AM0003,Active
CUST000125,2024-06-01,North America,Enterprise,501-1000,Retail,enterprise_sales,AM0035,Churned
CUST000126,2025-08-01,North America,SMB,51-200,Manufacturing,paid_media,AM0035,Active
CUST000127,2024-12-01,North America,Mid-Market,201-500,FinTech,paid_media,AM0034,Renewing Soon
CUST000128,2024-07-01,EMEA,SMB,1-20,SaaS,self_serve,AM0021,Active
CUST000129,2022-08-01,North America,Mid-Market,51-200,Retail,paid_media,AM0008,Renewing Soon
CUST000130,2024-05-01,APAC,SMB,1-20,Manufacturing,paid_media,AM0013,Active
CUST000131,2022-08-01,North America,SMB,21-50,Logistics,self_serve,AM0028,Renewing Soon
CUST000132,2025-08-01,LATAM,SMB,21-50,FinTech,outbound_sdr,AM0013,Active
CUST000133,2021-10-01,North America,Enterprise,501-1000,Retail,enterprise_sales,AM0019,Renewing Soon
CUST000134,2025-12-01,APAC,SMB,1-20,FinTech,outbound_sdr,AM0002,Onboarding
CUST000135,2024-01-01,LATAM,SMB,1-20,Retail,outbound_sdr,AM0021,Active
CUST000136,2023-04-01,LATAM,SMB,1-20,SaaS,self_serve,AM0008,Active
CUST000137,2024-02-01,APAC,SMB,51-200,Healthcare,self_serve,AM0033,Active
CUST000138,2025-04-01,APAC,Mid-Market,201-500,SaaS,paid_media,AM0033,Active
CUST000139,2024-02-01,EMEA,Mid-Market,51-200,Retail,outbound_sdr,AM0023,Active
CUST000140,2025-05-01,APAC,SMB,21-50,Healthcare,content_marketing,AM0005,Churned
CUST000141,2023-09-01,North America,SMB,1-20,Education,self_serve,AM0031,Active
CUST000142,2025-10-01,EMEA,SMB,1-20,SaaS,self_serve,AM0039,Active
CUST000143,2021-12-01,EMEA,SMB,21-50,Manufacturing,paid_media,AM0025,Renewing Soon
CUST000144,2022-11-01,APAC,Mid-Market,51-200,Retail,paid_media,AM0033,Renewing Soon
CUST000145,2022-03-01,EMEA,Mid-Market,201-500,SaaS,paid_media,AM0038,Renewing Soon
CUST000146,2026-01-01,North America,SMB,21-50,SaaS,content_marketing,AM0035,Onboarding
CUST000147,2025-12-01,EMEA,Mid-Market,501-1000,Healthcare,outbound_sdr,AM0009,Onboarding
CUST000148,2025-12-01,North America,SMB,1-20,Retail,paid_media,AM0035,Onboarding
CUST000149,2021-11-01,North America,SMB,21-50,Media,self_serve,AM0034,Renewing Soon
CUST000150,2023-05-01,EMEA,SMB,1-20,SaaS,self_serve,AM0026,Churned
CUST000151,2022-08-01,North America,Mid-Market,201-500,Retail,partner_referral,AM0010,Renewing Soon
CUST000152,2023-05-01,North America,SMB,1-20,Retail,paid_media,AM0020,Active
CUST000153,2022-03-01,North America,Enterprise,1001-5000,Retail,enterprise_sales,AM0036,Renewing Soon
CUST000154,2022-06-01,North America,SMB,1-20,Manufacturing,self_serve,AM0036,Renewing Soon
CUST000155,2024-12-01,North America,SMB,51-200,Media,content_marketing,AM0007,Renewing Soon
CUST000156,2025-01-01,North America,SMB,51-200,Manufacturing,self_serve,AM0019,Active
CUST000157,2021-12-01,EMEA,SMB,1-20,Logistics,outbound_sdr,AM0023,Churned
CUST000158,2022-01-01,North America,SMB,21-50,FinTech,self_serve,AM0007,Churned
CUST000159,2022-03-01,LATAM,SMB,1-20,Education,self_serve,AM0010,Churned
CUST000160,2022-04-01,LATAM,Mid-Market,201-500,Media,enterprise_sales,AM0024,Renewing Soon
CUST000161,2022-12-01,EMEA,SMB,1-20,Media,paid_media,AM0025,Churned
CUST000162,2023-08-01,North America,Mid-Market,51-200,Healthcare,paid_media,AM0007,Active
CUST000163,2024-07-01,EMEA,Mid-Market,201-500,Logistics,partner_referral,AM0018,Active
CUST000164,2024-10-01,APAC,SMB,1-20,SaaS,self_serve,AM0024,Active
CUST000165,2024-12-01,EMEA,SMB,1-20,Retail,content_marketing,AM0039,Renewing Soon
CUST000166,2024-01-01,APAC,SMB,1-20,Healthcare,paid_media,AM0040,Active
CUST000167,2023-11-01,EMEA,SMB,1-20,Retail,paid_media,AM0015,Active
CUST000168,2022-02-01,EMEA,Mid-Market,51-200,Manufacturing,outbound_sdr,AM0025,Renewing Soon
CUST000169,2024-02-01,North America,Enterprise,1001-5000,SaaS,enterprise_sales,AM0028,Active
CUST000170,2022-09-01,APAC,Mid-Market,201-500,FinTech,outbound_sdr,AM0005,Renewing Soon
CUST000171,2023-11-01,North America,SMB,1-20,SaaS,partner_referral,AM0028,Active
CUST000172,2021-10-01,EMEA,Mid-Market,201-500,Manufacturing,partner_referral,AM0009,Renewing Soon
CUST000173,2022-12-01,APAC,Mid-Market,201-500,Logistics,enterprise_sales,AM0002,Renewing Soon
CUST000174,2023-01-01,North America,SMB,21-50,Education,self_serve,AM0012,Renewing Soon
CUST000175,2024-03-01,EMEA,Mid-Market,501-1000,Education,partner_referral,AM0015,Renewing Soon
CUST000176,2025-01-01,North America,SMB,1-20,Education,self_serve,AM0008,Active
CUST000177,2024-08-01,APAC,SMB,1-20,Healthcare,content_marketing,AM0002,Active
CUST000178,2023-06-01,North America,SMB,21-50,Manufacturing,partner_referral,AM0029,Renewing Soon
CUST000179,2025-08-01,LATAM,SMB,1-20,Manufacturing,paid_media,AM0001,Active
CUST000180,2022-05-01,North America,Enterprise,501-1000,SaaS,enterprise_sales,AM0034,Renewing Soon
CUST000181,2025-07-01,LATAM,SMB,1-20,Retail,content_marketing,AM0003,Active
CUST000182,2025-03-01,APAC,SMB,21-50,Education,self_serve,AM0024,Renewing Soon
CUST000183,2025-04-01,EMEA,SMB,1-20,Retail,paid_media,AM0009,Active
CUST000184,2024-02-01,APAC,SMB,21-50,Education,content_marketing,AM0016,Active
CUST000185,2022-12-01,APAC,SMB,21-50,SaaS,self_serve,AM0005,Renewing Soon
CUST000186,2022-08-01,LATAM,SMB,1-20,Education,content_marketing,AM0018,Renewing Soon
CUST000187,2022-04-01,North America,Mid-Market,501-1000,FinTech,paid_media,AM0031,Renewing Soon
CUST000188,2021-07-01,EMEA,SMB,21-50,Logistics,self_serve,AM0009,Renewing Soon
CUST000189,2024-03-01,North America,Mid-Market,51-200,FinTech,partner_referral,AM0008,Churned
CUST000190,2025-02-01,EMEA,SMB,21-50,Manufacturing,paid_media,AM0025,Churned
CUST000191,2024-02-01,North America,Mid-Market,201-500,Manufacturing,paid_media,AM0031,Active
CUST000192,2024-11-01,EMEA,Mid-Market,201-500,FinTech,content_marketing,AM0018,Active
CUST000193,2025-06-01,EMEA,SMB,21-50,Healthcare,paid_media,AM0003,Renewing Soon
CUST000194,2025-07-01,EMEA,SMB,21-50,FinTech,self_serve,AM0015,Active
CUST000195,2025-06-01,EMEA,Enterprise,1001-5000,Retail,enterprise_sales,AM0014,Active
CUST000196,2025-09-01,APAC,SMB,51-200,Media,self_serve,AM0024,Renewing Soon
CUST000197,2025-07-01,APAC,Mid-Market,201-500,Healthcare,outbound_sdr,AM0006,Active
CUST000198,2022-09-01,EMEA,SMB,21-50,Manufacturing,self_serve,AM0018,Renewing Soon
CUST000199,2024-03-01,EMEA,SMB,1-20,Logistics,self_serve,AM0015,Renewing Soon
CUST000200,2025-10-01,LATAM,SMB,1-20,Manufacturing,content_marketing,AM0007,Active
CUST000201,2022-02-01,North America,Enterprise,1001-5000,Logistics,partner_referral,AM0034,Renewing Soon
CUST000202,2022-03-01,North America,SMB,21-50,Manufacturing,self_serve,AM0020,Renewing Soon
CUST000203,2024-11-01,North America,Mid-Market,201-500,Manufacturing,content_marketing,AM0029,Active
CUST000204,2024-10-01,EMEA,Mid-Market,501-1000,SaaS,outbound_sdr,AM0015,Active
CUST000205,2024-09-01,North America,SMB,1-20,SaaS,paid_media,AM0007,Churned
CUST000206,2023-03-01,APAC,SMB,21-50,Retail,outbound_sdr,AM0024,Renewing Soon
CUST000207,2022-01-01,EMEA,SMB,21-50,Logistics,paid_media,AM0026,Churned
CUST000208,2024-05-01,North America,SMB,21-50,SaaS,self_serve,AM0004,Churned
CUST000209,2021-12-01,APAC,Mid-Market,501-1000,Media,partner_referral,AM0040,Churned
CUST000210,2025-11-01,APAC,SMB,51-200,Healthcare,content_marketing,AM0033,Onboarding
CUST000211,2022-12-01,North America,SMB,1-20,Manufacturing,self_serve,AM0035,Churned
CUST000212,2022-02-01,North America,Mid-Market,201-500,Logistics,enterprise_sales,AM0020,Churned
CUST000213,2022-01-01,North America,Mid-Market,501-1000,Logistics,partner_referral,AM0032,Renewing Soon
CUST000214,2025-11-01,North America,SMB,21-50,Manufacturing,self_serve,AM0004,Onboarding
CUST000215,2025-11-01,North America,SMB,1-20,FinTech,paid_media,AM0029,Onboarding
CUST000216,2024-12-01,LATAM,SMB,51-200,SaaS,content_marketing,AM0006,Renewing Soon
CUST000217,2023-03-01,EMEA,Mid-Market,51-200,FinTech,partner_referral,AM0038,Renewing Soon
CUST000218,2021-08-01,North America,SMB,1-20,Education,outbound_sdr,AM0037,Renewing Soon
CUST000219,2023-05-01,APAC,SMB,1-20,Healthcare,outbound_sdr,AM0005,Active
CUST000220,2024-02-01,EMEA,SMB,1-20,Retail,self_serve,AM0022,Active
CUST000221,2022-05-01,LATAM,Mid-Market,201-500,FinTech,outbound_sdr,AM0024,Renewing Soon
CUST000222,2022-10-01,APAC,Mid-Market,201-500,Manufacturing,partner_referral,AM0033,Renewing Soon
CUST000223,2023-07-01,EMEA,SMB,51-200,Healthcare,content_marketing,AM0021,Churned
CUST000224,2022-02-01,North America,Mid-Market,201-500,Manufacturing,content_marketing,AM0036,Renewing Soon
CUST000225,2024-09-01,LATAM,Mid-Market,201-500,Manufacturing,outbound_sdr,AM0014,Renewing Soon
CUST000226,2024-06-01,EMEA,SMB,51-200,Media,outbound_sdr,AM0017,Renewing Soon
CUST000227,2024-10-01,LATAM,Mid-Market,501-1000,Logistics,partner_referral,AM0030,Active
CUST000228,2021-07-01,North America,SMB,1-20,Retail,partner_referral,AM0028,Renewing Soon
CUST000229,2022-06-01,APAC,Enterprise,501-1000,SaaS,outbound_sdr,AM0002,Renewing Soon
CUST000230,2023-06-01,EMEA,SMB,21-50,Media,self_serve,AM0025,Churned
CUST000231,2023-11-01,North America,SMB,21-50,Logistics,self_serve,AM0011,Churned
CUST000232,2024-03-01,EMEA,SMB,1-20,Logistics,self_serve,AM0030,Renewing Soon
CUST000233,2025-03-01,EMEA,SMB,1-20,Manufacturing,outbound_sdr,AM0030,Renewing Soon
CUST000234,2021-11-01,North America,Mid-Market,201-500,SaaS,partner_referral,AM0019,Churned
CUST000235,2024-07-01,EMEA,SMB,21-50,Education,partner_referral,AM0030,Active
CUST000236,2022-09-01,APAC,SMB,21-50,Healthcare,paid_media,AM0040,Renewing Soon
CUST000237,2024-06-01,North America,SMB,21-50,Healthcare,paid_media,AM0032,Renewing Soon
CUST000238,2023-08-01,EMEA,Enterprise,5000+,Healthcare,outbound_sdr,AM0023,Active
CUST000239,2023-07-01,EMEA,Mid-Market,201-500,Manufacturing,partner_referral,AM0038,Active
CUST000240,2023-12-01,North America,SMB,21-50,Healthcare,content_marketing,AM0035,Churned
CUST000241,2023-12-01,LATAM,SMB,21-50,Retail,paid_media,AM0020,Renewing Soon
CUST000242,2025-03-01,APAC,SMB,1-20,Retail,self_serve,AM0002,Renewing Soon
CUST000243,2024-11-01,North America,Enterprise,1001-5000,Manufacturing,enterprise_sales,AM0029,Active
CUST000244,2021-12-01,LATAM,Mid-Market,201-500,SaaS,outbound_sdr,AM0019,Churned
CUST000245,2026-01-01,APAC,SMB,21-50,Media,content_marketing,AM0006,Onboarding
CUST000246,2022-07-01,North America,Enterprise,1001-5000,Manufacturing,enterprise_sales,AM0008,Renewing Soon
CUST000247,2023-06-01,APAC,SMB,1-20,Manufacturing,paid_media,AM0024,Churned
CUST000248,2022-11-01,North America,Mid-Market,201-500,Manufacturing,outbound_sdr,AM0036,Renewing Soon
CUST000249,2021-10-01,LATAM,SMB,21-50,Healthcare,content_marketing,AM0024,Renewing Soon
CUST000250,2022-05-01,EMEA,SMB,1-20,Retail,partner_referral,AM0014,Churned
CUST000251,2023-04-01,EMEA,SMB,1-20,SaaS,content_marketing,AM0001,Churned
CUST000252,2022-07-01,North America,SMB,1-20,Logistics,outbound_sdr,AM0032,Renewing Soon
CUST000253,2025-03-01,APAC,Enterprise,5000+,SaaS,enterprise_sales,AM0005,Renewing Soon
CUST000254,2023-10-01,North America,SMB,21-50,Media,self_serve,AM0007,Active
CUST000255,2022-08-01,North America,Mid-Market,201-500,Retail,partner_referral,AM0010,Renewing Soon
CUST000256,2025-08-01,North America,Mid-Market,201-500,SaaS,outbound_sdr,AM0010,Active
CUST000257,2024-01-01,APAC,Mid-Market,201-500,Manufacturing,content_marketing,AM0006,Active
CUST000258,2023-09-01,North America,Enterprise,1001-5000,Healthcare,outbound_sdr,AM0012,Renewing Soon
CUST000259,2024-09-01,LATAM,SMB,51-200,Media,self_serve,AM0008,Churned
CUST000260,2024-04-01,EMEA,SMB,1-20,Education,outbound_sdr,AM0027,Active
CUST000261,2024-07-01,North America,SMB,1-20,Manufacturing,self_serve,AM0035,Active
CUST000262,2025-06-01,North America,SMB,21-50,Manufacturing,content_marketing,AM0011,Renewing Soon
CUST000263,2023-12-01,North America,Enterprise,501-1000,Media,enterprise_sales,AM0012,Active
CUST000264,2024-11-01,EMEA,SMB,21-50,Retail,content_marketing,AM0030,Active
CUST000265,2024-08-01,APAC,SMB,21-50,Manufacturing,self_serve,AM0040,Active
CUST000266,2023-07-01,North America,SMB,1-20,Healthcare,outbound_sdr,AM0034,Active
CUST000267,2023-06-01,APAC,SMB,1-20,Healthcare,outbound_sdr,AM0016,Active
CUST000268,2024-11-01,North America,Mid-Market,201-500,Retail,partner_referral,AM0037,Active
CUST000269,2023-10-01,APAC,SMB,21-50,Retail,paid_media,AM0024,Churned
CUST000270,2023-09-01,LATAM,Mid-Market,201-500,Logistics,content_marketing,AM0028,Active
CUST000271,2023-06-01,APAC,Mid-Market,51-200,Manufacturing,content_marketing,AM0002,Active
CUST000272,2021-12-01,EMEA,Mid-Market,201-500,Retail,content_marketing,AM0025,Renewing Soon
CUST000273,2026-01-01,APAC,SMB,1-20,Manufacturing,paid_media,AM0006,Onboarding
CUST000274,2025-06-01,North America,Mid-Market,501-1000,Education,paid_media,AM0029,Renewing Soon
CUST000275,2025-08-01,North America,SMB,1-20,Manufacturing,content_marketing,AM0029,Active
CUST000276,2022-02-01,North America,SMB,1-20,Logistics,self_serve,AM0007,Churned
CUST000277,2023-11-01,EMEA,Mid-Market,501-1000,Healthcare,enterprise_sales,AM0021,Churned
CUST000278,2025-08-01,APAC,Mid-Market,201-500,Retail,outbound_sdr,AM0016,Active
CUST000279,2024-04-01,EMEA,SMB,1-20,Logistics,self_serve,AM0001,Active
CUST000280,2023-10-01,APAC,Mid-Market,201-500,Education,enterprise_sales,AM0033,Active
CUST000281,2025-06-01,North America,SMB,51-200,Healthcare,self_serve,AM0037,Active
CUST000282,2022-01-01,APAC,Mid-Market,201-500,Retail,outbound_sdr,AM0002,Renewing Soon
CUST000283,2022-11-01,North America,Enterprise,1001-5000,FinTech,partner_referral,AM0007,Churned
CUST000284,2024-04-01,North America,SMB,21-50,SaaS,partner_referral,AM0008,Active
CUST000285,2024-10-01,EMEA,Mid-Market,51-200,Education,outbound_sdr,AM0021,Active
CUST000286,2022-10-01,LATAM,Mid-Market,201-500,Education,partner_referral,AM0025,Renewing Soon
CUST000287,2024-11-01,EMEA,Mid-Market,201-500,SaaS,outbound_sdr,AM0014,Active
CUST000288,2022-03-01,North America,Mid-Market,51-200,Media,partner_referral,AM0035,Renewing Soon
CUST000289,2024-08-01,EMEA,Mid-Market,201-500,Manufacturing,partner_referral,AM0015,Active
CUST000290,2023-07-01,North America,SMB,51-200,Logistics,self_serve,AM0011,Active
CUST000291,2025-02-01,APAC,Mid-Market,51-200,Education,enterprise_sales,AM0016,Active
CUST000292,2024-01-01,EMEA,SMB,21-50,Logistics,content_marketing,AM0030,Churned
CUST000293,2026-01-01,North America,Enterprise,1001-5000,Logistics,outbound_sdr,AM0010,Onboarding
